content,summary
"超链接无法打开","Excel中打开超链接提示“您的组织策略阻止我们为您完成此操作”：1.按键盘上的Win+R键，在弹出的输入框输入regedit；2.在在注册表中，导航找到HKEY_CURRENT_USER\Software\Classes\.html 项；3.在默认项上点右键选择修改；4.将默认项的值修改为HTMLfile，然后确定；5.同样的方法检查HKEY_CURRENT_USER\Software\Classes\.htm HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.html 以及 HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.htm 中的默认值是否也是HTMLfile，不是的话也改过来。6. 如果在注册表中无法修改html和htm默认项的值，请到360软件中将默认浏览器修改为非360浏览器，再进行尝试。"
"Excel中打开超链接提示“您的组织策略阻止我们为您完成此操作”如何解决","Excel中打开超链接提示“您的组织策略阻止我们为您完成此操作”：1.按键盘上的Win+R键，在弹出的输入框输入regedit；2.在在注册表中，导航找到HKEY_CURRENT_USER\Software\Classes\.html 项；3.在默认项上点右键选择修改；4.将默认项的值修改为HTMLfile，然后确定；5.同样的方法检查HKEY_CURRENT_USER\Software\Classes\.htm HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.html 以及 HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.htm 中的默认值是否也是HTMLfile，不是的话也改过来。6. 如果在注册表中无法修改html和htm默认项的值，请到360软件中将默认浏览器修改为非360浏览器，再进行尝试。"
"office打开超链接提示“您的组织策略阻止我们为您完成此操作","Excel中打开超链接提示“您的组织策略阻止我们为您完成此操作”：1.按键盘上的Win+R键，在弹出的输入框输入regedit；2.在在注册表中，导航找到HKEY_CURRENT_USER\Software\Classes\.html 项；3.在默认项上点右键选择修改；4.将默认项的值修改为HTMLfile，然后确定；5.同样的方法检查HKEY_CURRENT_USER\Software\Classes\.htm HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.html 以及 HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.htm 中的默认值是否也是HTMLfile，不是的话也改过来。6. 如果在注册表中无法修改html和htm默认项的值，请到360软件中将默认浏览器修改为非360浏览器，再进行尝试。"
"excel中怎样冻结首行首列","Excel工作表冻结窗格操作步骤如下：1.打开Excel表格 进入Excel表格,根据需求,选中需要冻结行列的末尾。2.找到视图工具 接着在上方工具栏中,找到“视图”工具,点击进入。3.点击冻结窗口 在视图中,找到“冻结窗口”这个选项,点击“冻结窗口”。4.选择冻结窗格 在弹出的列表中,选择“冻结窗格”,即可对所选的单元格之前的单元格进行冻结。"
"冻结窗口怎么设置","Excel工作表冻结窗格操作步骤如下：1.打开Excel表格 进入Excel表格,根据需求,选中需要冻结行列的末尾。2.找到视图工具 接着在上方工具栏中,找到“视图”工具,点击进入。3.点击冻结窗口 在视图中,找到“冻结窗口”这个选项,点击“冻结窗口”。4.选择冻结窗格 在弹出的列表中,选择“冻结窗格”,即可对所选的单元格之前的单元格进行冻结。"
"选择性冻结表格怎么设置","Excel工作表冻结窗格操作步骤如下：1.打开Excel表格 进入Excel表格,根据需求,选中需要冻结行列的末尾。2.找到视图工具 接着在上方工具栏中,找到“视图”工具,点击进入。3.点击冻结窗口 在视图中,找到“冻结窗口”这个选项,点击“冻结窗口”。4.选择冻结窗格 在弹出的列表中,选择“冻结窗格”,即可对所选的单元格之前的单元格进行冻结。"
"excel如何冻结窗口","Excel工作表冻结窗格操作步骤如下：1.打开Excel表格 进入Excel表格,根据需求,选中需要冻结行列的末尾。2.找到视图工具 接着在上方工具栏中,找到“视图”工具,点击进入。3.点击冻结窗口 在视图中,找到“冻结窗口”这个选项,点击“冻结窗口”。4.选择冻结窗格 在弹出的列表中,选择“冻结窗格”,即可对所选的单元格之前的单元格进行冻结。"
"csv文件打开以后乱码","Excel打开csv格式文件显示乱码：右键CSV文件，打开方式选择记事本打开，然后点左上角的文件—另存为，编码格式改成ANSI格式后保存（一般显示为UTF-8导致乱码），再重新用excel打开。"
"csv文件无法打开","Excel打开csv格式文件显示乱码：右键CSV文件，打开方式选择记事本打开，然后点左上角的文件—另存为，编码格式改成ANSI格式后保存（一般显示为UTF-8导致乱码），再重新用excel打开。"
"Word中打字卡顿","如果使用office办公软件打字卡顿可尝试以下方法：方法一：1.打开控制面板-卸载程序2.选中Office办公软件点击;更改;3.选择;添加或删除功能;，点击;继续;4.展开Office共享功能-校对工具-简体中文校对工具，将;拼写和语法检查程序;设置为;不可用;，点击;继续;5.配置完成后生效方法二：1、打开office文档，找到菜单栏中的;文件;选项，并单击2、在弹出的页面中点击;选项;3、在弹出的页面中点击;高级;4、在高级页面找到显示选项下的;禁用硬件图形加速;，勾选后点击确定。 重新打开office文档即可。如仍无法解决可输入转人工咨询。"
"如何解决Office办公软件打字卡顿","如果使用office办公软件打字卡顿可尝试以下方法：方法一：1.打开控制面板-卸载程序2.选中Office办公软件点击;更改;3.选择;添加或删除功能;，点击;继续;4.展开Office共享功能-校对工具-简体中文校对工具，将;拼写和语法检查程序;设置为;不可用;，点击;继续;5.配置完成后生效方法二：1、打开office文档，找到菜单栏中的;文件;选项，并单击2、在弹出的页面中点击;选项;3、在弹出的页面中点击;高级;4、在高级页面找到显示选项下的;禁用硬件图形加速;，勾选后点击确定。 重新打开office文档即可。如仍无法解决可输入转人工咨询。"
"Excel中打字卡顿","如果使用office办公软件打字卡顿可尝试以下方法：方法一：1.打开控制面板-卸载程序2.选中Office办公软件点击;更改;3.选择;添加或删除功能;，点击;继续;4.展开Office共享功能-校对工具-简体中文校对工具，将;拼写和语法检查程序;设置为;不可用;，点击;继续;5.配置完成后生效方法二：1、打开office文档，找到菜单栏中的;文件;选项，并单击2、在弹出的页面中点击;选项;3、在弹出的页面中点击;高级;4、在高级页面找到显示选项下的;禁用硬件图形加速;，勾选后点击确定。 重新打开office文档即可。如仍无法解决可输入转人工咨询。"
"Ppt中打字卡顿","如果使用office办公软件打字卡顿可尝试以下方法：方法一：1.打开控制面板-卸载程序2.选中Office办公软件点击;更改;3.选择;添加或删除功能;，点击;继续;4.展开Office共享功能-校对工具-简体中文校对工具，将;拼写和语法检查程序;设置为;不可用;，点击;继续;5.配置完成后生效方法二：1、打开office文档，找到菜单栏中的;文件;选项，并单击2、在弹出的页面中点击;选项;3、在弹出的页面中点击;高级;4、在高级页面找到显示选项下的;禁用硬件图形加速;，勾选后点击确定。 重新打开office文档即可。如仍无法解决可输入转人工咨询。"
"如何自动保存编辑的文档","Office开启自动保存功能：1.打开office软件，如word、excel，点击“文件”选项。2.点击保存选项卡，勾选“保存自动恢复信息时间间隔”，并按照需求填写时间设置。勾选“如果我没保存就关闭，请保留上次自动保留的版本"
"office如何自动保存","Office开启自动保存功能：1.打开office软件，如word、excel，点击“文件”选项。2.点击保存选项卡，勾选“保存自动恢复信息时间间隔”，并按照需求填写时间设置。勾选“如果我没保存就关闭，请保留上次自动保留的版本"
"office开启自动保存的设置方法","Office开启自动保存功能：1.打开office软件，如word、excel，点击“文件”选项。2.点击保存选项卡，勾选“保存自动恢复信息时间间隔”，并按照需求填写时间设置。勾选“如果我没保存就关闭，请保留上次自动保留的版本"
"Office开启自动保存","Office开启自动保存功能：1.打开office软件，如word、excel，点击“文件”选项。2.点击保存选项卡，勾选“保存自动恢复信息时间间隔”，并按照需求填写时间设置。勾选“如果我没保存就关闭，请保留上次自动保留的版本"
"如何开启office自动保存","Office开启自动保存功能：1.打开office软件，如word、excel，点击“文件”选项。2.点击保存选项卡，勾选“保存自动恢复信息时间间隔”，并按照需求填写时间设置。勾选“如果我没保存就关闭，请保留上次自动保留的版本"
"office软件打开提示已停止工作怎么解决","Office软件打开提示已停止工作：解决方法: 1. 按键盘上的“WIN+R”,在弹出的运行框输入“%appdata%”回车。2. 找到Microsoft文件夹,将它整个删除即可。WPS软件删除kingsoft文件夹（此为软件缓存，删除不影响软件正常使用）。"
"office软件无法打开","Office软件打开提示已停止工作：解决方法: 1. 按键盘上的“WIN+R”,在弹出的运行框输入“%appdata%”回车。2. 找到Microsoft文件夹,将它整个删除即可。WPS软件删除kingsoft文件夹（此为软件缓存，删除不影响软件正常使用）。"
"office文件提示“已停止工作”如何解决","Office软件打开提示已停止工作：解决方法: 1. 按键盘上的“WIN+R”,在弹出的运行框输入“%appdata%”回车。2. 找到Microsoft文件夹,将它整个删除即可。WPS软件删除kingsoft文件夹（此为软件缓存，删除不影响软件正常使用）。"
"office文件打开报错","Office软件打开提示已停止工作：解决方法: 1. 按键盘上的“WIN+R”,在弹出的运行框输入“%appdata%”回车。2. 找到Microsoft文件夹,将它整个删除即可。WPS软件删除kingsoft文件夹（此为软件缓存，删除不影响软件正常使用）。"
"接收文件印章位置显示红X","PDF文件印章位置显示红&times;无法正常打印：文档验证签名导致异常，可取消验证后重新尝试打印，操作手册：http://abc.com&#34;"
"PDF文件印章位置显示异常如何处理","PDF文件印章位置显示红&times;无法正常打印：文档验证签名导致异常，可取消验证后重新尝试打印，操作手册：http://abc.com&#34;"
"打印文件印章位置显示红叉","PDF文件印章位置显示红&times;无法正常打印：文档验证签名导致异常，可取消验证后重新尝试打印，操作手册：http://abc.com&#34;"
"PDF无法查看","PDF文件打开跳转到网页或无法查看：因为加密问题，PDF格式文件无法使用浏览器查看，如何一打开PDF就跳转到网页，需要修改PDF格式文件的默认打开方式，可以点击文件，右键属性，常规选项卡中的打开方式查看是否为edge浏览器，点击更改，选择金山PDF或Adobe PDF进行打开。也可以参考手册设置：http://abc.com&#34;"
"PDF打开乱码","PDF文件打开跳转到网页或无法查看：因为加密问题，PDF格式文件无法使用浏览器查看，如何一打开PDF就跳转到网页，需要修改PDF格式文件的默认打开方式，可以点击文件，右键属性，常规选项卡中的打开方式查看是否为edge浏览器，点击更改，选择金山PDF或Adobe PDF进行打开。也可以参考手册设置：http://abc.com&#34;"
"PDF一打开就跳转到网页","PDF文件打开跳转到网页或无法查看：因为加密问题，PDF格式文件无法使用浏览器查看，如何一打开PDF就跳转到网页，需要修改PDF格式文件的默认打开方式，可以点击文件，右键属性，常规选项卡中的打开方式查看是否为edge浏览器，点击更改，选择金山PDF或Adobe PDF进行打开。也可以参考手册设置：http://abc.com&#34;"
"PDF打不开","PDF文件打开跳转到网页或无法查看：因为加密问题，PDF格式文件无法使用浏览器查看，如何一打开PDF就跳转到网页，需要修改PDF格式文件的默认打开方式，可以点击文件，右键属性，常规选项卡中的打开方式查看是否为edge浏览器，点击更改，选择金山PDF或Adobe PDF进行打开。也可以参考手册设置：http://abc.com&#34;"
"笔记本提示是否允许设备修改并且验证用户名和账号","WIN10 PC反复提示：你要允许此应用对你的设备进行更改吗1、同时按“win+r”键，输入“control”，点击确定打开控制面板，点击用户账户--用户账户-管理用户账户，查看自己的账户是否在列表中，且组是否为Administrators（如果不是请联系各属地的PC管理员添加，不知道具体人员请转人工处理）2、点击“更改用户账号控制设置”，根据自身情况，调整通知等级"
"电脑总是提示是否允许设备修改并且验证用户名和账号","WIN10 PC反复提示：你要允许此应用对你的设备进行更改吗1、同时按“win+r”键，输入“control”，点击确定打开控制面板，点击用户账户--用户账户-管理用户账户，查看自己的账户是否在列表中，且组是否为Administrators（如果不是请联系各属地的PC管理员添加，不知道具体人员请转人工处理）2、点击“更改用户账号控制设置”，根据自身情况，调整通知等级"
"WIN10开机时间过慢，如何快速开机启动","WIN10电脑如何关闭或者打开快速启动：为了更好的保护磁盘，对开机速度没有太高要求的用户可以关闭快速启动，反之打开后会缩短开机时间。1、同时按键盘的win+r键，输入control，点击确定，打开“控制面板”2、点击硬件和声音——电源选项——选择电源按钮的功能——更改当前不可用的设置——取消或者勾选启用快速启动——点击“保存修改”"
"笔记本如何关闭快速启动","WIN10电脑如何关闭或者打开快速启动：为了更好的保护磁盘，对开机速度没有太高要求的用户可以关闭快速启动，反之打开后会缩短开机时间。1、同时按键盘的win+r键，输入control，点击确定，打开“控制面板”2、点击硬件和声音——电源选项——选择电源按钮的功能——更改当前不可用的设置——取消或者勾选启用快速启动——点击“保存修改”"
"笔记本如何快速开机","WIN10电脑如何关闭或者打开快速启动：为了更好的保护磁盘，对开机速度没有太高要求的用户可以关闭快速启动，反之打开后会缩短开机时间。1、同时按键盘的win+r键，输入control，点击确定，打开“控制面板”2、点击硬件和声音——电源选项——选择电源按钮的功能——更改当前不可用的设置——取消或者勾选启用快速启动——点击“保存修改”"
"笔记本磁盘过大，如何新建磁盘分区","WIN10电脑调整磁盘分区：1、电脑桌面右键“此电脑”，选择“管理”2、在弹出的窗口中选择“磁盘管理”选项3、选择我们要调整分区大小的盘，右键单击，选择“压缩卷”4、在“输入压缩空间量”的选项中输入本次要压缩的空间数值，1GB=1024MB，想要几G就要对应乘于1024，输入好之后点击“压缩”5、右键刚才压缩出来的空间，然后单击选择“新建简单卷”6、之后会弹出“新建简单卷向导”选项，一直点下一页即可"
"如何调整磁盘分区","WIN10电脑调整磁盘分区：1、电脑桌面右键“此电脑”，选择“管理”2、在弹出的窗口中选择“磁盘管理”选项3、选择我们要调整分区大小的盘，右键单击，选择“压缩卷”4、在“输入压缩空间量”的选项中输入本次要压缩的空间数值，1GB=1024MB，想要几G就要对应乘于1024，输入好之后点击“压缩”5、右键刚才压缩出来的空间，然后单击选择“新建简单卷”6、之后会弹出“新建简单卷向导”选项，一直点下一页即可"
"更改Windows系统壁纸","Windows系统壁纸消失，桌面变成黑色解决方法：1、在开始菜单输入services.msc并打开,将Sever、Software Protection、SPP Notification Service这三个服务的状态设置为已启动,重启电脑即可;2、或者,打开控制面板-管理工具-服务-看一下Sever、Software Protection、SPP Notification Service这三个服务是不是都开启的。如果不是，启动类型全部设为自动(右键属性便可更改)。　　"
"Windows系统壁纸恢复默认","Windows系统壁纸消失，桌面变成黑色解决方法：1、在开始菜单输入services.msc并打开,将Sever、Software Protection、SPP Notification Service这三个服务的状态设置为已启动,重启电脑即可;2、或者,打开控制面板-管理工具-服务-看一下Sever、Software Protection、SPP Notification Service这三个服务是不是都开启的。如果不是，启动类型全部设为自动(右键属性便可更改)。　　"
"桌面背景突然变成黑色怎么办","Windows系统壁纸消失，桌面变成黑色解决方法：1、在开始菜单输入services.msc并打开,将Sever、Software Protection、SPP Notification Service这三个服务的状态设置为已启动,重启电脑即可;2、或者,打开控制面板-管理工具-服务-看一下Sever、Software Protection、SPP Notification Service这三个服务是不是都开启的。如果不是，启动类型全部设为自动(右键属性便可更改)。　　"
"桌面变成黑色怎么设置壁纸","Windows系统壁纸消失，桌面变成黑色解决方法：1、在开始菜单输入services.msc并打开,将Sever、Software Protection、SPP Notification Service这三个服务的状态设置为已启动,重启电脑即可;2、或者,打开控制面板-管理工具-服务-看一下Sever、Software Protection、SPP Notification Service这三个服务是不是都开启的。如果不是，启动类型全部设为自动(右键属性便可更改)。　　"
"桌面壁纸消失怎么设置","Windows系统壁纸消失，桌面变成黑色解决方法：1、在开始菜单输入services.msc并打开,将Sever、Software Protection、SPP Notification Service这三个服务的状态设置为已启动,重启电脑即可;2、或者,打开控制面板-管理工具-服务-看一下Sever、Software Protection、SPP Notification Service这三个服务是不是都开启的。如果不是，启动类型全部设为自动(右键属性便可更改)。　　"
"wps文件误删如何找回","WPS误删、未保存文件找回（仅限于WPS用户）：同时按住【windows+R】键，在弹出的框中输入 %appdata% 回车，找到kingsoft—>office6——>backup 文件夹，找到误删除的文件，复制出来即可。"
"wps文件误删如何还原","WPS误删、未保存文件找回（仅限于WPS用户）：同时按住【windows+R】键，在弹出的框中输入 %appdata% 回车，找到kingsoft—>office6——>backup 文件夹，找到误删除的文件，复制出来即可。"
"wps文件找回","WPS误删、未保存文件找回（仅限于WPS用户）：同时按住【windows+R】键，在弹出的框中输入 %appdata% 回车，找到kingsoft—>office6——>backup 文件夹，找到误删除的文件，复制出来即可。"
"误删wps文件如何找回","WPS误删、未保存文件找回（仅限于WPS用户）：同时按住【windows+R】键，在弹出的框中输入 %appdata% 回车，找到kingsoft—>office6——>backup 文件夹，找到误删除的文件，复制出来即可。"
"wps文件还原","WPS误删、未保存文件找回（仅限于WPS用户）：同时按住【windows+R】键，在弹出的框中输入 %appdata% 回车，找到kingsoft—>office6——>backup 文件夹，找到误删除的文件，复制出来即可。"
".NET Framework 3.5无法安装",".NET Framework 3.5安装方法：1、打开控制面板进入;程序;，2、点击;程序和功能;左边的;启用或关闭Windows功能;。3、在打开的;Windows功能;窗口中展开;.NET Framework 3.5(包括.NET 2.0和3.0);选项，勾选其中的子项然后点击【确认】开始安装.NET Framework 3.5模块。4、系统会自动弹出Windows更新，选择;让Windows更新为您下载文件;就可以自动安装。或者可以打开连接下载http://abc.com&#34;"
"Win10能否安装.NET Framework 3.5",".NET Framework 3.5安装方法：1、打开控制面板进入;程序;，2、点击;程序和功能;左边的;启用或关闭Windows功能;。3、在打开的;Windows功能;窗口中展开;.NET Framework 3.5(包括.NET 2.0和3.0);选项，勾选其中的子项然后点击【确认】开始安装.NET Framework 3.5模块。4、系统会自动弹出Windows更新，选择;让Windows更新为您下载文件;就可以自动安装。或者可以打开连接下载http://abc.com&#34;"
"Windows不能安装.NET Framework 3.5如何解决",".NET Framework 3.5安装方法：1、打开控制面板进入;程序;，2、点击;程序和功能;左边的;启用或关闭Windows功能;。3、在打开的;Windows功能;窗口中展开;.NET Framework 3.5(包括.NET 2.0和3.0);选项，勾选其中的子项然后点击【确认】开始安装.NET Framework 3.5模块。4、系统会自动弹出Windows更新，选择;让Windows更新为您下载文件;就可以自动安装。或者可以打开连接下载http://abc.com&#34;"
"如何安装.NET Framework 3.5",".NET Framework 3.5安装方法：1、打开控制面板进入;程序;，2、点击;程序和功能;左边的;启用或关闭Windows功能;。3、在打开的;Windows功能;窗口中展开;.NET Framework 3.5(包括.NET 2.0和3.0);选项，勾选其中的子项然后点击【确认】开始安装.NET Framework 3.5模块。4、系统会自动弹出Windows更新，选择;让Windows更新为您下载文件;就可以自动安装。或者可以打开连接下载http://abc.com&#34;"
".NET Framework 3.5安装方法",".NET Framework 3.5安装方法：1、打开控制面板进入;程序;，2、点击;程序和功能;左边的;启用或关闭Windows功能;。3、在打开的;Windows功能;窗口中展开;.NET Framework 3.5(包括.NET 2.0和3.0);选项，勾选其中的子项然后点击【确认】开始安装.NET Framework 3.5模块。4、系统会自动弹出Windows更新，选择;让Windows更新为您下载文件;就可以自动安装。或者可以打开连接下载http://abc.com&#34;"
"win10系统开始菜单电源选项没有关机键","如果Win10登陆界面没有关机按钮键，可尝试以下操作进行修复：1.按下Win+r打开运行，输入regedit回车，打开注册表编辑器；2.将注册表HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System下的【shutdownwithoutlogon】32位的DWORD值修改为“1”保存后重启，关机按钮恢复出现。"
"win10系统关机选项位置","如果Win10登陆界面没有关机按钮键，可尝试以下操作进行修复：1.按下Win+r打开运行，输入regedit回车，打开注册表编辑器；2.将注册表HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System下的【shutdownwithoutlogon】32位的DWORD值修改为“1”保存后重启，关机按钮恢复出现。"
"Win10登陆界面没有关机按钮键的解决办法","如果Win10登陆界面没有关机按钮键，可尝试以下操作进行修复：1.按下Win+r打开运行，输入regedit回车，打开注册表编辑器；2.将注册表HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System下的【shutdownwithoutlogon】32位的DWORD值修改为“1”保存后重启，关机按钮恢复出现。"
"win10系统如何增加关机选项","如果Win10登陆界面没有关机按钮键，可尝试以下操作进行修复：1.按下Win+r打开运行，输入regedit回车，打开注册表编辑器；2.将注册表HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System下的【shutdownwithoutlogon】32位的DWORD值修改为“1”保存后重启，关机按钮恢复出现。"
"win10系统没有关机选项","如果Win10登陆界面没有关机按钮键，可尝试以下操作进行修复：1.按下Win+r打开运行，输入regedit回车，打开注册表编辑器；2.将注册表HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System下的【shutdownwithoutlogon】32位的DWORD值修改为“1”保存后重启，关机按钮恢复出现。"
"电脑桌面没有回收站","Win10系统里调出“此电脑”和“回收站”图标的方法：1、在Win10电脑桌面空白处鼠标右键选“个性化”选项；2、在弹出的窗口左侧先选择“主题”选项，然后选择右边的“桌面图标设置”。（如果右边没有“桌面图标设置”选项，往下拉可以找到这个设置）3、在桌面图标设置里，勾选“计算机”和“回收站”选项，然后点确定即可。"
"电脑桌面没有此电脑","Win10系统里调出“此电脑”和“回收站”图标的方法：1、在Win10电脑桌面空白处鼠标右键选“个性化”选项；2、在弹出的窗口左侧先选择“主题”选项，然后选择右边的“桌面图标设置”。（如果右边没有“桌面图标设置”选项，往下拉可以找到这个设置）3、在桌面图标设置里，勾选“计算机”和“回收站”选项，然后点确定即可。"
"win10系统中找不到进入磁盘的入口","Win10系统里调出“此电脑”和“回收站”图标的方法：1、在Win10电脑桌面空白处鼠标右键选“个性化”选项；2、在弹出的窗口左侧先选择“主题”选项，然后选择右边的“桌面图标设置”。（如果右边没有“桌面图标设置”选项，往下拉可以找到这个设置）3、在桌面图标设置里，勾选“计算机”和“回收站”选项，然后点确定即可。"
"win10电脑桌面没有“此电脑”和“回收站”图标","Win10系统里调出“此电脑”和“回收站”图标的方法：1、在Win10电脑桌面空白处鼠标右键选“个性化”选项；2、在弹出的窗口左侧先选择“主题”选项，然后选择右边的“桌面图标设置”。（如果右边没有“桌面图标设置”选项，往下拉可以找到这个设置）3、在桌面图标设置里，勾选“计算机”和“回收站”选项，然后点确定即可。"
"win11右键桌面菜单改回win10样式","Win11系统右键桌面菜单默认显示更多选项：1、菜单中搜索Powershell或CMD，以管理员方式运行；2、输入以下命令：reg add "HKCU\Software\Classes\CLSID\{86ca1aa0-34aa-4e8b-a509-50c905bae2a2}\InprocServer32" /f /ve3、回车，指令完成之后，重启电脑。"
"win11右键桌面菜单直接显示更多选项","Win11系统右键桌面菜单默认显示更多选项：1、菜单中搜索Powershell或CMD，以管理员方式运行；2、输入以下命令：reg add "HKCU\Software\Classes\CLSID\{86ca1aa0-34aa-4e8b-a509-50c905bae2a2}\InprocServer32" /f /ve3、回车，指令完成之后，重启电脑。"
"windows无权限修改系统时间","Windows电脑本地没有时间同步的按钮：电脑左下角的搜索框->输入cmd，右键以管理员身份运行，在cmd命令行依次输入如下命令运行：Net stop w32timeW32tm.exe /unregisterW32tm.exe /registernet start w32timeW32tm.exe /resync /force执行完上述5条命令后，本地时间即可同步。"
"笔记本没在权限修改时钟的权限","Windows电脑本地没有时间同步的按钮：电脑左下角的搜索框->输入cmd，右键以管理员身份运行，在cmd命令行依次输入如下命令运行：Net stop w32timeW32tm.exe /unregisterW32tm.exe /registernet start w32timeW32tm.exe /resync /force执行完上述5条命令后，本地时间即可同步。"
"删除windows环境变量","Windows系统环境变量添加：Win10主机：同时按键盘的win+R键->输入control，点击确定，进入控制面板->点击系统与安全->点击系统->单击高级系统设置->单击环境变量->添加环境变量、删除环境变量、编辑环境变量"
"添加windows环境变量","Windows系统环境变量添加：Win10主机：同时按键盘的win+R键->输入control，点击确定，进入控制面板->点击系统与安全->点击系统->单击高级系统设置->单击环境变量->添加环境变量、删除环境变量、编辑环境变量"
"编辑windows环境变量","Windows系统环境变量添加：Win10主机：同时按键盘的win+R键->输入control，点击确定，进入控制面板->点击系统与安全->点击系统->单击高级系统设置->单击环境变量->添加环境变量、删除环境变量、编辑环境变量"
"批量合并excel文件至一个表","合并工作表操作步骤如下：1、新建一个excel文件，执行以下操作时要合并的excel文件要处于关闭状态。2、打开新建的excel文件，找到数据菜单栏中的获取和转换数据功能区，点击获取数据功能，在其下拉框中选择【自文件】-【从文件夹】。3、选择要合并的excel文件所在的文件夹路径。4、在弹出的窗口中选择右下角的【组合】-【合并和加载】。5、在弹出的合并文件窗口中点击确定，合并完成。"
